Year,Make,Model,NewUsed,ExteriorColor,car_details_link
2024,Chevrolet,Silverado 1500,NEW,Lakeshore Blue Metallic,https://www.goschchevy.com/inventory/3GCPDBEK7RG212184/
2023,Chevrolet,Camaro,USED,Rapid Blue,https://www.goschchevy.com/inventory/1G1FF3D72P0107877/
2018,Nissan,Rogue,USED,Magnetic Black,https://www.goschchevy.com/inventory/5N1AT2MT3JC758194/
2017,Ford,Super Duty F-350 SRW,USED,White,https://www.goschchevy.com/inventory/1FT8W3BT3HEB51908/
2023,Chevrolet,Bolt EV,NEW,Silver Flare Metallic,https://www.goschchevy.com/inventory/1G1FX6S08P4207530/
2023,Chevrolet,Bolt EUV,NEW,Silver Flare Metallic,https://www.goschchevy.com/inventory/1G1FY6S02P4207696/
2023,Chevrolet,Bolt EUV,NEW,Gray Ghost Metallic,https://www.goschchevy.com/inventory/1G1FY6S05P4207661/
2024,Chevrolet,Malibu,NEW,Mineral Gray Metallic,https://www.goschchevy.com/inventory/1G1ZD5ST6RF157406/
2024,Chevrolet,Trailblazer,NEW,Mosaic Black Metallic,https://www.goschchevy.com/inventory/KL79MMSLXRB048937/
2024,Chevrolet,Trailblazer,NEW,Summit White,https://www.goschchevy.com/inventory/KL79MPSL9RB049126/
2024,Chevrolet,Trailblazer,NEW,Summit White,https://www.goschchevy.com/inventory/KL79MRSL1RB093732/
2018,Cadillac,ATS-V Coupe,USED,Black Raven,https://www.goschchevy.com/inventory/1G6AL1RY5J0176234/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCPDBEK4RZ236426/
2024,Chevrolet,Silverado 1500,NEW,Lakeshore Blue Metallic,https://www.goschchevy.com/inventory/1GCPDBEK8RZ235487/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCPDBEK8RZ236798/
2024,Chevrolet,Blazer,NEW,Black,https://www.goschchevy.com/inventory/3GNKBERS0RS196992/
2024,Chevrolet,Trailblazer,NEW,Mosaic Black Metallic,https://www.goschchevy.com/inventory/KL79MPSL9RB046159/
2024,Chevrolet,Trailblazer,NEW,Iridescent Pearl Tricoat,https://www.goschchevy.com/inventory/KL79MRSL9RB095258/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCPDBEK6RZ236847/
2024,Chevrolet,Blazer,NEW,Black,https://www.goschchevy.com/inventory/3GNKBERS5RS196955/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCPDBEK7RZ236906/
